stname,tractfips,2000 Tract,2010 Tract,MUNICIPALITY,Municipality,City Neighborhood,2006-2010 estimate of obesity
Pennsylvania,42003512900,512900,,NORTH BRADDOCK ,North Braddock ,,0.431658948
Pennsylvania,42003513800,513800,,BRADDOCK ,Braddock ,,0.482442708
Pennsylvania,42003514000,514000,,RANKIN ,Rankin ,,0.454089592
Pennsylvania,42003515100,515100,,SWISSVALE ,Swissvale ,,0.351186825
Pennsylvania,42003515200,515200,,SWISSVALE ,Swissvale ,,0.27628363
Pennsylvania,42003515300,515300,,SWISSVALE ,Swissvale ,,0.335109797
Pennsylvania,42003515401,515400,5154.01,SWISSVALE ,Swissvale ,,0.263372026
Pennsylvania,42003515401,515500,5154.01,SWISSVALE ,Swissvale ,,0.166940808
Pennsylvania,42003516100,516100,,EDGEWOOD ,Edgewood ,,0.199533325
Pennsylvania,42003516200,516200,,EDGEWOOD ,Edgewood ,,0.189226318
Pennsylvania,42003517000,517000,,BRADDOCK HILLS ,Braddock Hills ,,0.311349755
Pennsylvania,42003518001,518001,,FOREST HILLS ,Forest Hills ,,0.206929818
Pennsylvania,42003519000,519000,,CHURCHILL ,Churchill ,,0.20718432
Pennsylvania,42003520001,520001,,WILKINS  ,Wilkins  ,,0.259436488
Pennsylvania,42003520002,520002,,WILKINS  ,Wilkins  ,,0.265713436
Pennsylvania,42003521100,521100,,MONROEVILLE MUNI,Monroeville Muni,,0.292862169
Pennsylvania,42003521200,521200,,MONROEVILLE MUNI,Monroeville Muni,,0.239349268
Pennsylvania,42003521301,521301,,MONROEVILLE MUNI,Monroeville Muni,,0.23327395
Pennsylvania,42003521302,521302,,MONROEVILLE MUNI,Monroeville Muni,,0.247892241
Pennsylvania,42003521401,521401,,MONROEVILLE MUNI,Monroeville Muni,,0.256653428
Pennsylvania,42003521402,521402,,MONROEVILLE MUNI,Monroeville Muni,,0.217399796
Pennsylvania,42003521500,521500,,MONROEVILLE MUNI,Monroeville Muni,,0.262960639
Pennsylvania,42003522000,522000,,PITCAIRN ,Pitcairn ,,0.304231081
Pennsylvania,42003523100,523100,,PENN HILLS  ,Penn Hills  ,,0.501530483
Pennsylvania,42003523200,523200,,PENN HILLS  ,Penn Hills  ,,0.352730978
Pennsylvania,42003523300,523300,,PENN HILLS  ,Penn Hills  ,,0.279977637
Pennsylvania,42003523400,523400,,PENN HILLS  ,Penn Hills  ,,0.299321709
Pennsylvania,42003523501,523501,,PENN HILLS  ,Penn Hills  ,,0.335680107
Pennsylvania,42003523502,523502,,PENN HILLS  ,Penn Hills  ,,0.306756772
Pennsylvania,42003523600,523600,,PENN HILLS  ,Penn Hills  ,,0.282028897
Pennsylvania,42003523701,523701,,PENN HILLS  ,Penn Hills  ,,0.301917321
Pennsylvania,42003523702,523702,,PENN HILLS  ,Penn Hills  ,,0.305211406
Pennsylvania,42003523800,523800,,PENN HILLS  ,Penn Hills  ,,0.281781021
Pennsylvania,42003524000,524000,,VERONA ,Verona ,,0.321492884
Pennsylvania,42003525100,525100,,OAKMONT ,Oakmont ,,0.222354623
Pennsylvania,42003525200,525200,,OAKMONT ,Oakmont ,,0.249598493
Pennsylvania,42003525300,525300,,OAKMONT ,Oakmont ,,0.228409496
Pennsylvania,42003526101,526101,,PLUM ,Plum ,,0.258876178
Pennsylvania,42003526102,526102,,PLUM ,Plum ,,0.275764706
Pennsylvania,42003526201,526201,,PLUM ,Plum ,,0.278563448
Pennsylvania,42003526202,526202,,PLUM ,Plum ,,0.27189195
Pennsylvania,42003526301,526301,,PLUM ,Plum ,,0.275220298
Pennsylvania,42003526302,526302,,PLUM ,Plum ,,0.225703486
Pennsylvania,42003550900,550900,,MCKEESPORT  ,Mckeesport  ,,0.428708153
Pennsylvania,42003551200,551200,,MCKEESPORT  ,Mckeesport  ,,0.383108866
Pennsylvania,42003551300,551300,,MCKEESPORT  ,Mckeesport  ,,0.289979283
Pennsylvania,42003551900,551900,,MCKEESPORT  ,Mckeesport  ,,0.431124763
Pennsylvania,42003552000,552000,,MCKEESPORT  ,Mckeesport  ,,0.337149024
Pennsylvania,42003552100,552100,,MCKEESPORT  ,Mckeesport  ,,0.388907896
Pennsylvania,42003552200,552200,,MCKEESPORT  ,Mckeesport  ,,0.30356836
Pennsylvania,42003552300,552300,,MCKEESPORT  ,Mckeesport  ,,0.478169583
Pennsylvania,42003552400,552400,,MCKEESPORT  ,Mckeesport  ,,0.302839291
Pennsylvania,42003560400,560400,,WILKINSBURG ,Wilkinsburg ,,0.437485158
Pennsylvania,42003560500,560500,,WILKINSBURG ,Wilkinsburg ,,0.224347178
